Year_month,DANE_Year_Month,Period,Codigo.DANE.period,Codigo.DANE.year,Codigo.DANE,Year,Month,SST12,SST3,SST34,SST4,NATL,SATL,TROP,SOI,Equatorial_SOI,CPOLR,Winds_Equator,Rain,Temperature,MPI,min_masl,vectors,Total_pob,cases,sir,excess
2007-1,5040-2007-1,1,5040001,50402007,5040,2007,1,25.13,26.61,27.31,28.92,26.19,25.57,27.94,-1.3,0.2,-18.3,14.4,97.12365335,22.26192288,53.3,100,83.10094813,15407,0,0,0
2007-2,5040-2007-2,2,5040002,50402007,5040,2007,2,26.26,26.52,26.84,28.61,26.12,26.48,28.02,-0.1,-0.1,2.34,10.2,52.45229968,22.32895395,53.3,100,83.10094813,15407,0,0,0
2007-3,5040-2007-3,3,5040003,50402007,5040,2007,3,26.28,26.71,27.16,28.63,25.83,26.84,28.25,0.3,-0.6,9.12,14,212.8269563,22.35466088,53.3,100,83.10094813,15407,1,4.366272007,1
2007-4,5040-2007-4,4,5040004,50402007,5040,2007,4,25.19,27.26,27.7,28.66,26.1,26.77,28.56,-0.2,0.1,1.37,9.9,400.8906943,21.61043267,53.3,100,83.10094813,15407,0,0,0
2007-5,5040-2007-5,5,5040005,50402007,5040,2007,5,23.49,26.42,27.45,28.65,26.39,26.2,28.33,-0.2,0.2,6.13,4.2,417.4052307,20.9362256,53.3,100,83.10094813,15407,0,0,0
2007-6,5040-2007-6,6,5040006,50402007,5040,2007,6,22.34,26.19,27.57,28.73,26.67,25.06,27.97,0.9,-2.1,5.25,7.1,340.9707679,22.15292215,53.3,100,83.10094813,15407,0,0,0
2007-7,5040-2007-7,7,5040007,50402007,5040,2007,7,21.18,25.24,26.89,28.55,27.11,23.74,27.32,-0.5,-0.4,10.51,-0.2,314.5835296,22.16849422,53.3,100,83.10094813,15407,0,0,0
2007-8,5040-2007-8,8,5040008,50402007,5040,2007,8,19.89,24.2,26.32,28.53,27.44,23.05,27.01,0.7,-0.5,5.35,-2,487.8996721,21.37667435,53.3,100,83.10094813,15407,0,0,0
2007-9,5040-2007-9,9,5040009,50402007,5040,2007,9,19.51,23.99,25.9,28.16,27.9,23.2,27.06,0.3,-1.2,9.48,4.1,373.0532952,21.56032177,53.3,100,83.10094813,15407,0,0,0
2007-10,5040-2007-10,10,5040010,50402007,5040,2007,10,19.28,23.8,25.58,28.05,28.05,23.25,27.16,1.2,-1,12.59,3.2,398.1199563,20.22776292,53.3,100,83.10094813,15407,0,0,0
2007-11,5040-2007-11,11,5040011,50402007,5040,2007,11,19.72,23.66,25.4,27.57,27.43,23.94,27.19,1.4,-1.2,9.13,16.1,250.0803466,20.83073381,53.3,100,83.10094813,15407,0,0,0
2007-12,5040-2007-12,12,5040012,50402007,5040,2007,12,21.12,23.91,25.47,27.65,26.61,24.69,27.21,2.7,-2.1,20.63,16.5,161.6698715,20.4515441,53.3,100,83.10094813,15407,0,0,0
2008-1,5040-2008-1,13,5040013,50402008,5040,2008,1,24.26,24.32,24.97,26.78,25.89,25.61,27.2,2.9,-1.3,7.56,22,115.0213225,21.52912024,53.3,100,83.10094813,15605,1,2.156401865,1
2008-2,5040-2008-2,14,5040014,50402008,5040,2008,2,26.36,25.3,25.25,26.71,25.31,26.82,27.41,4.4,-1.3,26.74,23.6,181.3611928,21.08570905,53.3,100,83.10094813,15605,35,86.3409332,1
2008-3,5040-2008-3,15,5040015,50402008,5040,2008,3,27.12,26.69,26.3,27.14,25.38,27.41,27.91,2.4,-1.3,18.03,15.5,174.6910435,21.11485292,53.3,100,83.10094813,15605,34,82.31093829,1
2008-4,5040-2008-4,16,5040016,50402008,5040,2008,4,26.05,27.28,26.95,27.57,25.61,27.36,28.22,1.1,-1.3,12.2,15.3,225.4039602,20.81731989,53.3,100,83.10094813,15605,29,55.77437183,1
2008-5,5040-2008-5,17,5040017,50402008,5040,2008,5,24.69,27.18,27.19,27.9,26.36,26.76,28.19,-0.1,-0.1,12.64,7.6,411.3976157,20.71898857,53.3,100,83.10094813,15605,63,88.46722306,1
2008-6,5040-2008-6,18,5040018,50402008,5040,2008,6,23.62,26.52,27.07,27.99,26.94,25.39,27.73,1,0,5.66,3.9,410.9257506,21.38299405,53.3,100,83.10094813,15605,25,64.21734823,1
2008-7,5040-2008-7,19,5040019,50402008,5040,2008,7,22.74,26.12,27.03,28.11,27.46,24.23,27.37,0.5,-0.3,7.5,-0.4,408.612614,21.84025654,53.3,100,83.10094813,15605,31,60.10671725,1
2008-8,5040-2008-8,20,5040020,50402008,5040,2008,8,22.04,25.79,26.83,28.02,27.97,23.53,27.22,1.7,-0.6,4.44,-3,353.4494907,21.03357018,53.3,100,83.10094813,15605,25,53.24919159,1
2008-9,5040-2008-9,21,5040021,50402008,5040,2008,9,21.7,25.35,26.52,28.09,28.64,23.19,27.31,2,-0.6,-1.88,-1.3,327.6691166,20.95660241,53.3,100,83.10094813,15605,8,17.87565195,1
2008-10,5040-2008-10,22,5040022,50402008,5040,2008,10,21.32,25.32,26.57,28.25,28.56,23.26,27.49,2.1,-0.4,8.04,1.1,367.3261542,20.87784874,53.3,100,83.10094813,15605,7,15.82664551,1
2008-11,5040-2008-11,23,5040023,50402008,5040,2008,11,21.63,25.15,26.47,28.17,27.88,23.95,27.58,2.2,-1.3,4.46,15.3,356.204681,20.42363362,53.3,100,83.10094813,15605,23,50.08123568,1
2008-12,5040-2008-12,24,5040024,50402008,5040,2008,12,22.58,24.64,25.83,27.68,27,24.81,27.41,2.4,-1.4,18.49,21.8,132.1284312,20.74304565,53.3,100,83.10094813,15605,3,7.203643233,1
2009-1,5040-2009-1,25,5040025,50402009,5040,2009,1,24.36,25.32,25.76,27.38,26.05,25.72,27.43,1.8,-0.5,17.64,17.6,138.1617339,21.108267,53.3,100,83.10094813,15812,18,32.88846169,1
2009-2,5040-2009-2,26,5040026,50402009,5040,2009,2,25.86,25.96,26.13,27.41,25.33,26.62,27.58,3.1,-1.8,13.58,20.9,127.9399869,21.45064147,53.3,100,83.10094813,15812,10,19.25405444,1
2009-3,5040-2009-3,27,5040027,50402009,5040,2009,3,26.11,26.51,26.61,27.69,25.34,27.35,28.04,0.7,-0.7,9.07,16.7,180.958719,21.18689715,53.3,100,83.10094813,15812,13,25.67399775,1
2009-4,5040-2009-4,28,5040028,50402009,5040,2009,4,26.07,27.53,27.65,28.3,25.83,27.26,28.47,1.3,-0.7,8.17,9.3,223.7567226,21.58174801,53.3,100,83.10094813,15812,25,49.16882846,1
2009-5,5040-2009-5,29,5040029,50402009,5040,2009,5,25.11,27.59,28.06,28.82,26.08,26.57,28.56,-0.2,-1.2,7.53,3.3,297.6794031,21.51267829,53.3,100,83.10094813,15812,45,78.85224417,1
2009-6,5040-2009-6,30,5040030,50402009,5040,2009,6,23.9,27.28,28.13,28.96,26.57,25.28,28.25,0.2,0,0.78,0,304.7992712,21.72643962,53.3,100,83.10094813,15812,22,37.40929915,1
