SPEC,LONG,LAT
Anopheles albimanus,-88.529,18.424
Anopheles albimanus,-87.814,32.532
Anopheles albimanus,-72.64451,4.187754
Anopheles albimanus,-91.21106,16.309
Anopheles albimanus,-69.167,-11.917
Anopheles albimanus,-64.333,44.3615
Anopheles albimanus,-83.70633,22.630938
Anopheles albimanus,-65.873056,18.419722
Anopheles albimanus,-34.926846,-8.16108
Anopheles albimanus,-82.4837,27.5784
Anopheles albimanus,-80.96,24.76
Anopheles albimanus,-80.39,-3.54
Anopheles albimanus,-78.53,-5.64
Anopheles albimanus,-76.55,8.37
Anopheles albimanus,-72.93,2.65
Anopheles albimanus,-79.45,-3.42
Anopheles albimanus,-92.17,15.39
Anopheles albimanus,-84.15,12.17
Anopheles albimanus,-78.08,7.3
Anopheles albimanus,-77.32,8.62
Anopheles albimanus,-79.68,-2.1
Anopheles albimanus,-77.96,7.62
Anopheles albimanus,-92.6479,18.4073
Anopheles albimanus,-101.554,23.874361
Anopheles albimanus,-80.546092,8.241829
Anopheles albimanus,-97.631101,26.132576
Anopheles albimanus,-80,9
Anopheles albimanus,-61.282997,10.324386
Anopheles albimanus,-75.036235,5.152643
Anopheles albimanus,-97.497484,25.901747
Anopheles albimanus,-65.284224,18.299756
Anopheles albimanus,-89.621667,20.967778
Anopheles albimanus,-99.897778,16.871111
Anopheles albimanus,-91.830833,18.643333
Anopheles albimanus,-88.162778,21.58
Anopheles albimanus,-99.256944,21.975
Anopheles albimanus,-88.305278,18.503611
Anopheles albimanus,-107.701111,24.764722
Anopheles albimanus,-95.212222,18.449722
Anopheles albimanus,-93.212222,18.395556
Anopheles albimanus,-106.415278,23.236111
Anopheles albimanus,-96.360555,18.447778
Anopheles albimanus,-94.724722,17.6775
Anopheles albimanus,-93.375555,18
Anopheles albimanus,-98.791667,21.261111
Anopheles albimanus,-107.367778,24.323611
Anopheles albimanus,-96.914444,18.844167
Anopheles albimanus,-94.092778,17.91
Anopheles albimanus,-90.720555,19.354722
Anopheles albimanus,-92.333889,17.555556
Anopheles albimanus,-96.126389,16.663889
Anopheles albimanus,-96.9275,19.54
Anopheles albimanus,-99.996667,21.931944
Anopheles albimanus,-95.795278,18.365
Anopheles albimanus,-87.678611,21.509722
Anopheles albimanus,-92.260555,14.908056
Anopheles albimanus,-97.868611,22.255278
Anopheles albimanus,-96.726667,20.160556
Anopheles albimanus,-99.009722,21.981944
Anopheles albimanus,-90.261111,20.848889
Anopheles albimanus,-93.116667,16.752778
Anopheles albimanus,-93.078611,17.548056
Anopheles albimanus,-95.760555,18.770278
Anopheles albimanus,-109.708055,23.061389
Anopheles albimanus,-94.435278,18.137778
Anopheles albimanus,-90.734444,18.606667
Anopheles albimanus,-99.191111,19.406667
Anopheles albimanus,-90.531667,19.842222
Anopheles albimanus,-96.0325,18.176389
Anopheles albimanus,-94.755,17.989444
Anopheles albimanus,-104.070555,18.919444
Anopheles albimanus,-100.138611,16.961667
Anopheles albimanus,-90.687778,19.638333
Anopheles albimanus,-101.593055,17.656944
Anopheles albimanus,-92.928055,17.990556
Anopheles albimanus,-96.107222,19.100833
Anopheles albimanus,-97.001389,20.140278
Anopheles albimanus,-97.403055,20.958889
Anopheles albimanus,-91.362778,18.184444
Anopheles albimanus,-96.463889,15.827778
Anopheles albimanus,-80.20277,8.657308
Anopheles albimanus,-74.183333,4.25
Anopheles albimanus,-70.101,-12.5694
Anopheles albimanus,-61.5398,16.19761
Anopheles albimanus,-61.01929,14.65485
Anopheles albimanus,-100.199444,21.085278
Anopheles albimanus,-83.770278,12.011111
Anopheles albimanus,-54.079444,5.505
Anopheles albimanus,-63.036705,18.056453
Anopheles albimanus,-79.98,32.77
Anopheles albimanus,-66.39949,17.96735
Anopheles albimanus,-79.9998,9.31796
Anopheles albimanus,-99.30032,23.73378
Anopheles albimanus,-105.10044,22.86714
Anopheles albimanus,-90.82514,13.92226
Anopheles albimanus,-58.90061,-34.21621
Anopheles albimanus,-64.87647,17.76512
Anopheles albimanus,-68.24327,10.57093
Anopheles albimanus,-90.30001,16.53417
Anopheles albimanus,-60.7333,-32.7
Anopheles albimanus,-79.932222,0.776944
Anopheles albimanus,-72.68296,19.45062
Anopheles albimanus,-66.88283,18.30067
Anopheles albimanus,-85.44588,10.62735
Anopheles albimanus,-79.65132,9.55234
Anopheles albimanus,-76.96113,17.97934
Anopheles albimanus,-77.49975,8.01803
Anopheles albimanus,-59.30059,-27.86608
Anopheles albimanus,-64.75036,18.36261
Anopheles albimanus,-62.22447,16.74759
Anopheles albimanus,-87.93389,15.85576
Anopheles albimanus,-72.78309,19.93842
Anopheles albimanus,-84.62054,9.7998
Anopheles albimanus,-77.37814,25.0284
Anopheles albimanus,-57.41718,-25.3004
Anopheles albimanus,-85.94992,11.93441
Anopheles albimanus,-89.66678,21.28391
Anopheles albimanus,-84.21789,10.01357
Anopheles albimanus,-89.06665,17.33412
Anopheles albimanus,-88.64997,18.18408
Anopheles albimanus,-70.16624,18.66732
Anopheles albimanus,-85.99992,15.8842
Anopheles albimanus,-79.11645,8.25135
Anopheles albimanus,-66.43282,18.46732
Anopheles albimanus,-76.28304,17.93404
Anopheles albimanus,-84.7834,9.97263
Anopheles albimanus,-91.906,14.30017
Anopheles albimanus,-87.93167,15.37669
Anopheles albimanus,-95.03355,17.43409
Anopheles albimanus,-105.25044,20.61725
Anopheles albimanus,-72.52399,18.761
Anopheles albimanus,-78.33763,18.31596
Anopheles albimanus,-91.43348,17.48409
Anopheles albimanus,-69.88564,18.57195
Anopheles albimanus,-71.05559,19.71002
Anopheles albimanus,-83.28056,10.02643
Anopheles albimanus,-61.27166,15.86886
Anopheles albimanus,-88.83331,17.50078
Anopheles albimanus,-88.74754,13.6907
Anopheles albimanus,-88.64997,17.08414
Anopheles albimanus,-79.661111,0.922778
Anopheles albimanus,-85.24095,10.06538
Anopheles albimanus,-67.16617,18.46732
Anopheles albimanus,-83.8666,9.25399
Anopheles albimanus,-76.24532,25.20023
Anopheles albimanus,-88.54853,15.63533
Anopheles albimanus,-87.46675,15.77591
Anopheles albimanus,-77.35497,17.85212
Anopheles albimanus,-67.75189,10.26352
Anopheles albimanus,-83.65291,9.84566
Anopheles albimanus,-86.33326,12.33439
Anopheles albimanus,-89.21696,13.47911
Anopheles albimanus,-82.49989,22.88381
Anopheles albimanus,-72.39962,19.70061
Anopheles albimanus,-74.4663,24.03376
Anopheles albimanus,-74.21633,18.584
Anopheles albimanus,-67.16617,18.234
Anopheles albimanus,-66.11615,18.43399
Anopheles albimanus,-66.16615,18.11734
Anopheles albimanus,-86.83327,15.75087
Anopheles albimanus,-79.92762,-2.1616
Anopheles albimanus,-70.40278,19.11548
Anopheles albimanus,-80.77676,-4.87069
Anopheles albimanus,-70.10261,18.41899
Anopheles albimanus,-86.5666,15.7842
Anopheles albimanus,-85.33771,10.34563
Anopheles albimanus,-82.40192,9.2899
Anopheles albimanus,-88.61664,13.23434
Anopheles albimanus,-75.78306,20.66723
Anopheles albimanus,11.0167,46.8667
Anopheles albimanus,-88.83331,16.15085
Anopheles albimanus,-82.96066,8.82889
Anopheles albimanus,-83.47515,8.89959
Anopheles albimanus,-85.83325,11.43444
Anopheles albimanus,-86.91671,20.41728
Anopheles albimanus,-79.9998,7.46806
Anopheles albimanus,-64.70176,10.1302
Anopheles albimanus,-87.04994,12.53438
Anopheles albimanus,-86.72412,12.23181
Anopheles albimanus,-89.71505,14.99174
Anopheles albimanus,-90.66262,14.43577
Anopheles albimanus,-61.7074,17.04957
Anopheles albimanus,-83.05225,9.97368
Anopheles albimanus,-86.76671,21.08392
Anopheles albimanus,-89.88333,16.91748
Anopheles albimanus,-82.83319,9.73454
Anopheles albimanus,-89.09998,13.70098
Anopheles albimanus,-77.84975,18.01737
Anopheles albimanus,-75.71639,20.96722
Anopheles albimanus,-82.36656,23.1338
Anopheles albimanus,-89.06665,16.16752
Anopheles albimanus,-88.96665,17.11747
Anopheles albimanus,-88.5833,17.51745
Anopheles albimanus,-88.19996,17.50078
Anopheles albimanus,-79.48551,-1.10332
Anopheles albimanus,-75.16638,20.00059
Anopheles albimanus,-82.1913,8.91085
Anopheles albimanus,-76.6234,17.90566
Anopheles albimanus,-103.28373,18.68402
Anopheles albimanus,-98.70031,22.80049
Anopheles albimanus,-62.62804,17.14826
Anopheles albimanus,-77.34992,18.46276
Anopheles albimanus,-70.16024,19.09458
Anopheles albimanus,-75.82053,8.84334
Anopheles albimanus,-69.34391,19.20545
Anopheles albimanus,-69.22473,19.00772
Anopheles albimanus,-79.65271,9.19064
Anopheles albimanus,-100.00032,17.66741
Anopheles albimanus,-66.5,18.25
Anopheles albimanus,-79.78313,8.88465
Anopheles albimanus,-82.84597,8.49183
Anopheles albimanus,-86.09907,12.1943
Anopheles albimanus,-69.30735,18.45629
Anopheles albimanus,-66.71616,18.46732
Anopheles albimanus,-79.42577,9.06314
Anopheles albimanus,-88.97432,15.29757
Anopheles albimanus,-87.61555,15.58569
Anopheles albimanus,-76.73356,18.26431
Anopheles albimanus,-77.09319,18.28872
Anopheles albimanus,-72.42776,18.54115
Anopheles albimanus,-73.25195,-3.77013
Anopheles albimanus,-68.01857,10.46352
Anopheles albimanus,-88.21663,16.96748
Anopheles albimanus,-72.88296,18.43401
Anopheles albimanus,-81.39974,19.36442
Anopheles albimanus,-88.5333,17.75077
Anopheles albimanus,-79.396389,-0.0175
Anopheles albimanus,-66.835854,17.953607
Anopheles albimanus,-67.076889,18.021261
Anopheles albimanus,-99.121944,24.075
Anopheles albimanus,-87.735111,18.770889
Anopheles albimanus,-94.4825,16.350833
Anopheles albimanus,-97.793694,22.969
Anopheles albimanus,-100.291667,25.9625
Anopheles albimanus,-97.453722,25.602556
Anopheles albimanus,-103.730556,19.243056
Anopheles albimanus,-89.105889,18.521861
Anopheles albimanus,-98.207778,23.7675
Anopheles albimanus,-105.447361,22.530306
Anopheles albimanus,-91.62925,16.097361
Anopheles albimanus,-91.099722,16.0785
Anopheles albimanus,-90.998,16.762583
Anopheles albimanus,-108.195139,25.217139
Anopheles albimanus,-109.049722,25.6
Anopheles albimanus,-102.346305,17.988889
Anopheles albimanus,-92.255278,14.563056
Anopheles albimanus,-105.078722,19.539194
Anopheles albimanus,-104.682778,19.204167
Anopheles albimanus,-89.417778,18.588611
Anopheles albimanus,-105.729194,22.532972
Anopheles albimanus,-106.59775,23.792861
Anopheles albimanus,-90.450472,20.70875
Anopheles albimanus,-92.843889,15.178333
Anopheles albimanus,-108.8305,26.016139
Anopheles albimanus,-92.496389,14.817778
Anopheles albimanus,-93.149444,15.459167
Anopheles albimanus,-87.618055,20.076389
Anopheles albimanus,-91.899167,16.956111
Anopheles albimanus,-105.612444,22.011861
Anopheles albimanus,-95.167889,16.183889
Anopheles albimanus,-87.993028,19.49625
Anopheles albimanus,-107.693389,25.093722
Anopheles albimanus,-104.889361,19.352139
Anopheles albimanus,-88.102778,19.162778
Anopheles albimanus,-90.535833,16.269167
Anopheles albimanus,-105.285111,21.538139
Anopheles albimanus,-92.714889,17.201278
Anopheles albimanus,-95.406,16.091306
Anopheles albimanus,-92.5925,15.064722
Anopheles albimanus,-93.369444,15.675
Anopheles albimanus,-100.735889,18.899194
Anopheles albimanus,-99.224722,16.766944
Anopheles albimanus,-94.156055,16.279083
Anopheles albimanus,-109.303278,25.973861
Anopheles albimanus,-108.21675,25.823417
Anopheles albimanus,-99.508333,18.308333
Anopheles albimanus,-104.287833,19.049472
Anopheles albimanus,-97.743889,16.165556
Anopheles albimanus,-102.264444,19.055417
Anopheles albimanus,-104.519639,19.5345
Anopheles albimanus,-95.026694,16.406361
Anopheles albimanus,-92.908333,15.425
Anopheles albimanus,-94.605,16.557778
Anopheles albimanus,-92.016389,17.702806
Anopheles albimanus,-93.79225,16.119528
Anopheles albimanus,-90.650555,16.518889
Anopheles albimanus,-90.867778,16.207222
Anopheles albimanus,-100.000661,25.705472
Anopheles albimanus,-99.548417,27.479833
Anopheles albimanus,-48.8293,-25.4754
Anopheles albimanus,-76.510355,3.234182
Anopheles albimanus,-54.031415,3.643348
Anopheles albimanus,-54.192245,3.826958
Anopheles albimanus,-54.053915,3.383908
Anopheles albimanus,-77.590486,2.640292
Anopheles albimanus,-77.629373,2.87585
Anopheles albimanus,-77.815819,2.613739
