SPEC,LONG,LAT
Anopheles darlingi,-72.93171,2.65014
Anopheles darlingi,84.31778,43.39417
Anopheles darlingi,-72.64451,4.187754
Anopheles darlingi,-66.91072,-10.12328
Anopheles darlingi,-63.902557,3.241979
Anopheles darlingi,-50.97217,0.21314
Anopheles darlingi,-62.847,44.687
Anopheles darlingi,-64.2856,44.55688
Anopheles darlingi,-62.45208,44.83318
Anopheles darlingi,-64.778,43.907
Anopheles darlingi,-66.009777,43.637638
Anopheles darlingi,-66.965482,45.017213
Anopheles darlingi,-64.282,44.332
Anopheles darlingi,-61.022368,45.594836
Anopheles darlingi,-64.8232,6.574
Anopheles darlingi,-76.45,6.17
Anopheles darlingi,-69.45,2.53
Anopheles darlingi,-73.19,4.13
Anopheles darlingi,-47.32,-1.2
Anopheles darlingi,-64.68,-7.4
Anopheles darlingi,-74.71,7.61
Anopheles darlingi,-75.51,7.43
Anopheles darlingi,-52.21,-3.2
Anopheles darlingi,-74.49,7.35
Anopheles darlingi,-67.03,-9.69
Anopheles darlingi,-75.33,6.28
Anopheles darlingi,-72.65,-7.67
Anopheles darlingi,-64.98,7.06
Anopheles darlingi,-63.1428,-4.0822
Anopheles darlingi,-74.53,-0.1
Anopheles darlingi,125.038816,12.244553
Anopheles darlingi,-77.5832,-3.314419
Anopheles darlingi,-92.952778,17.548056
Anopheles darlingi,-90.531667,19.842222
Anopheles darlingi,-76.125,8.456389
Anopheles darlingi,-53.23477,3.92404
Anopheles darlingi,-56.831111,5.585278
Anopheles darlingi,-54.398333,5.608056
Anopheles darlingi,-62.283861,-9.2392474
Anopheles darlingi,-63.2153957,-7.2785534
Anopheles darlingi,-72.88605,-7.6205108
Anopheles darlingi,-67.0052428,-0.1566223
Anopheles darlingi,-60.8206936,-7.637897
Anopheles darlingi,-60.2082701,-1.5595684
Anopheles darlingi,-50.3062419,-3.4102363
Anopheles darlingi,-59.1186615,-3.0713641
Anopheles darlingi,-60.5,-11
Anopheles darlingi,-88.79998,17.25079
Anopheles darlingi,-87.16792,15.68594
Anopheles darlingi,-73.61867,4.14669
Anopheles darlingi,-48.408575,-1.409889
Anopheles darlingi,-90.890278,16.821111
Anopheles darlingi,-90.874167,16.117778
Anopheles darlingi,-90.650555,16.518889
Anopheles darlingi,-90.535833,16.269167
Anopheles darlingi,-91.155555,16.120278
Anopheles darlingi,-91.899167,16.956111
Anopheles darlingi,-54.25,-24.0667
Anopheles darlingi,-64.227203,-12.445
Anopheles darlingi,-56.3783,-20.240601
Anopheles darlingi,-63.040798,-9.91333
Anopheles darlingi,-54.383048,4.27418
Anopheles darlingi,-53.629005,4.559398
Anopheles darlingi,-51.675168,4.051384
Anopheles darlingi,-53.17007,5.52203
Anopheles darlingi,-53.549917,3.749968
Anopheles darlingi,-52.738605,5.115338
Anopheles darlingi,-52.700025,4.033351
Anopheles darlingi,-54.000025,4.766684
Anopheles darlingi,-52.866695,3.416688
Anopheles darlingi,-52.67767,3.56169
Anopheles darlingi,-52.262164,3.245379
Anopheles darlingi,-53.674595,5.394268
Anopheles darlingi,-51.838247,3.833546
Anopheles darlingi,-52.950025,5.316688
Anopheles darlingi,-53.778092,5.66898
Anopheles darlingi,-52.473837,5.013996
Anopheles darlingi,-52.129162,4.314002
Anopheles darlingi,-53.83532,3.32363
Anopheles darlingi,-54.028939,5.503342
Anopheles darlingi,-54.070388,3.298274
Anopheles darlingi,-54.031415,3.643348
Anopheles darlingi,-52.366692,3.000018
Anopheles darlingi,-54.192245,3.826958
Anopheles darlingi,-52.483358,2.783351
Anopheles darlingi,-54.344163,5.155783
Anopheles darlingi,-52.462398,4.561507
Anopheles darlingi,-52.87724,2.24504
Anopheles darlingi,-53.452738,5.546529
Anopheles darlingi,-54.41527,4.618084
Anopheles darlingi,-52.256515,4.857598
Anopheles darlingi,-52.593636,3.256962
Anopheles darlingi,-53.132825,3.608848
Anopheles darlingi,-53.288005,4.825571
Anopheles darlingi,-53.050025,5.062018
