SPEC,LONG,LAT
Anopheles nuneztovari,-63.61,1.82
Anopheles nuneztovari,-66.96,-0.15
Anopheles nuneztovari,-75.51,7.43
Anopheles nuneztovari,-72.58,4.37
Anopheles nuneztovari,-63.89,3.28
Anopheles nuneztovari,-71.33,6.5
Anopheles nuneztovari,-60.22,-1.64
Anopheles nuneztovari,-76.45,6.17
Anopheles nuneztovari,-66.84,-10
Anopheles nuneztovari,-74.7,7.79
Anopheles nuneztovari,-63.27,-10.3
Anopheles nuneztovari,-76.07,8.01
Anopheles nuneztovari,-76.59,3.49
Anopheles nuneztovari,-74.49,7.35
Anopheles nuneztovari,-72.43,8.38
Anopheles nuneztovari,-53.24036,3.91451
Anopheles nuneztovari,-55.47799,5.794231
Anopheles nuneztovari,-55.149722,5.825
Anopheles nuneztovari,-49.18372,-0.53339
Anopheles nuneztovari,-58.05152,5.2801
Anopheles nuneztovari,-46.1833,-1.5
Anopheles nuneztovari,-49.78375,-1.80008
Anopheles nuneztovari,-54.40131,5.61351
Anopheles nuneztovari,-74.80205,1.98
Anopheles nuneztovari,-63.90099,-8.76681
Anopheles nuneztovari,-53.66711,-3.20039
Anopheles nuneztovari,-73.86869,7.04674
Anopheles nuneztovari,-78.04977,8.35134
Anopheles nuneztovari,-77.49975,8.01803
Anopheles nuneztovari,-49.11709,-5.3504
Anopheles nuneztovari,-71.91703,6.9997
Anopheles nuneztovari,-53.03462,5.01344
Anopheles nuneztovari,-57.80039,6.46627
Anopheles nuneztovari,-60.0175,-3.13342
Anopheles nuneztovari,-49.33376,-5.1504
Anopheles nuneztovari,-55.16801,5.0135
Anopheles nuneztovari,-65.36772,-10.80016
Anopheles nuneztovari,-68.60193,9.6635
Anopheles nuneztovari,-49.53376,-4.53373
Anopheles nuneztovari,-67.60189,10.24685
Anopheles nuneztovari,-58.28487,5.99679
Anopheles nuneztovari,-70.93536,9.81349
Anopheles nuneztovari,-49.91709,-5.83374
Anopheles nuneztovari,-60.8342,-5.48345
Anopheles nuneztovari,-55.50065,-3.66677
Anopheles nuneztovari,-48.408575,-1.409889
Anopheles nuneztovari,-51.425056,-0.676444
Anopheles nuneztovari,-64.711403,-3.35417
Anopheles nuneztovari,-63.040798,-9.91333
Anopheles nuneztovari,-53.210985,3.623926
Anopheles nuneztovari,-52.47241,5.01171
Anopheles nuneztovari,-53.549917,3.749968
Anopheles nuneztovari,-52.738605,5.115338
Anopheles nuneztovari,-54.383048,4.27418
Anopheles nuneztovari,-52.700025,4.033351
Anopheles nuneztovari,-52.901525,3.366818
Anopheles nuneztovari,-54.198355,3.822518
Anopheles nuneztovari,-54.031415,3.643348
Anopheles nuneztovari,-51.966692,3.700018
Anopheles nuneztovari,-53.03179,5.41668
Anopheles nuneztovari,-53.814272,5.593271
Anopheles nuneztovari,-54.053915,3.383908
Anopheles nuneztovari,-52.47175,4.573209
Anopheles nuneztovari,-52.333605,3.167747
Anopheles nuneztovari,-52.129162,4.314002
Anopheles nuneztovari,-54.435506,4.990306
Anopheles nuneztovari,-54.41527,4.618084
Anopheles nuneztovari,-52.593636,3.256962
Anopheles nuneztovari,-52.268358,4.91224
Anopheles nuneztovari,-51.797616,3.896421
Anopheles nuneztovari,-53.288005,4.825571
