SPEC,LONG,LAT
Anopheles oswaldoi,-64.8232,6.574
Anopheles oswaldoi,-54.9,-10.383
Anopheles oswaldoi,-77.007,-0.343
Anopheles oswaldoi,-51.21,0.84
Anopheles oswaldoi,-56.5,-20.2
Anopheles oswaldoi,-63.77,3.39
Anopheles oswaldoi,-63.6,1.72
Anopheles oswaldoi,-65.07,-7.66
Anopheles oswaldoi,-64.98,7.06
Anopheles oswaldoi,-67.13,-9.68
Anopheles oswaldoi,-59.08,-3.09
Anopheles oswaldoi,-50.9,0.29
Anopheles oswaldoi,-66.84,-10
Anopheles oswaldoi,-57.13,-1
Anopheles oswaldoi,-72.7371,8.6403
Anopheles oswaldoi,-67.85,-10.01
Anopheles oswaldoi,-74.767,8.11
Anopheles oswaldoi,-47.884,-24.7096
Anopheles oswaldoi,-47.88,-22.63
Anopheles oswaldoi,-73.8419,0.8699
Anopheles oswaldoi,-72.64,-7.33
Anopheles oswaldoi,-74.779,-0.197
Anopheles oswaldoi,-52.01,0.89
Anopheles oswaldoi,-39.9485,-19.0348
Anopheles oswaldoi,-69.9522,-4.1159
Anopheles oswaldoi,-77.231,0.13
Anopheles oswaldoi,-76.4992,0.5134
Anopheles oswaldoi,-63.13,-0.08
Anopheles oswaldoi,-60.06,-0.78
Anopheles oswaldoi,-67.81,-10.24
Anopheles oswaldoi,-60.31,-1.54
Anopheles oswaldoi,-73.701,3.537
Anopheles oswaldoi,-64.2215,-12.4155
Anopheles oswaldoi,-50.92,1.52
Anopheles oswaldoi,-60.06,-2.78
Anopheles oswaldoi,-74.71,7.61
Anopheles oswaldoi,-60.06,-1.78
Anopheles oswaldoi,-64.711,-3.354
Anopheles oswaldoi,-55.47799,5.794231
Anopheles oswaldoi,-74.59547,5.97656
Anopheles oswaldoi,-73.25195,-3.77013
Anopheles oswaldoi,-55.15068,-21.63368
Anopheles oswaldoi,-73.61867,4.14669
Anopheles oswaldoi,-75.93541,-9.15347
Anopheles oswaldoi,-61.04386,10.38987
Anopheles oswaldoi,-75.26704,0.71634
Anopheles oswaldoi,-49.53376,-4.53373
Anopheles oswaldoi,-49.11709,-5.3504
Anopheles oswaldoi,-47.63369,-24.31709
Anopheles oswaldoi,-61.28177,10.63506
Anopheles oswaldoi,-61.56512,10.66839
Anopheles oswaldoi,-76.150089,-0.637087
Anopheles oswaldoi,-38.51661,-12.98357
Anopheles oswaldoi,-49.51707,-2.45009
Anopheles oswaldoi,-61.29844,10.38505
Anopheles oswaldoi,-67.78446,-2.78341
Anopheles oswaldoi,-63.90099,-8.76681
Anopheles oswaldoi,-53.66711,-3.20039
Anopheles oswaldoi,-48.48369,-1.45007
Anopheles oswaldoi,-60.8342,-5.48345
Anopheles oswaldoi,-65.38486,-10.80362
Anopheles oswaldoi,-77.49975,8.01803
Anopheles oswaldoi,-79.44404,9.04513
Anopheles oswaldoi,-67.90165,-11.78695
Anopheles oswaldoi,-55.16801,5.83018
Anopheles oswaldoi,-40.56705,-16.26713
Anopheles oswaldoi,-63.10169,10.1302
Anopheles oswaldoi,-61.25555,10.08371
Anopheles oswaldoi,-55.50065,-3.66677
Anopheles oswaldoi,-43.46683,-22.88373
Anopheles oswaldoi,-81.78317,7.61805
Anopheles oswaldoi,-79.78313,8.88465
Anopheles oswaldoi,-79.97091,9.30926
Anopheles oswaldoi,-54.40131,5.61351
Anopheles oswaldoi,-58.28487,5.99679
Anopheles oswaldoi,-45.41692,-23.61708
Anopheles oswaldoi,-46.1833,-1.5
Anopheles oswaldoi,-42.88347,-22.7004
Anopheles oswaldoi,-73.02919,4.15587
Anopheles oswaldoi,-60.0175,-3.13342
Anopheles oswaldoi,-67.60189,10.24685
Anopheles oswaldoi,-46.26696,-24.00042
Anopheles oswaldoi,-48.5427,-25.5128
Anopheles oswaldoi,-52.2333,-23.55
Anopheles oswaldoi,-48.8293,-25.4754
Anopheles oswaldoi,-53.40524,4.58423
Anopheles oswaldoi,-62.5853,-9.36278
Anopheles oswaldoi,-63.040798,-9.91333
Anopheles oswaldoi,-68.656898,-9.06556
Anopheles oswaldoi,-53.20636,3.628085
Anopheles oswaldoi,-52.67767,3.56169
Anopheles oswaldoi,-51.800025,3.900018
Anopheles oswaldoi,-54.383048,4.27418
Anopheles oswaldoi,-52.509685,4.832668
Anopheles oswaldoi,-53.02915,5.01314
Anopheles oswaldoi,-53.288005,4.825571
Anopheles oswaldoi,-54.000025,4.766684
Anopheles oswaldoi,-54.031415,3.643348
Anopheles oswaldoi,-53.549917,3.749968
Anopheles oswaldoi,-51.95025,3.73115
Anopheles oswaldoi,-52.483358,2.783351
Anopheles oswaldoi,-54.416695,5.033348
Anopheles oswaldoi,-52.329786,3.170172
Anopheles oswaldoi,-53.916695,3.383348
Anopheles oswaldoi,-52.87724,2.24504
Anopheles oswaldoi,-54.415345,4.619739
Anopheles oswaldoi,-52.47027,4.572008
Anopheles oswaldoi,-52.593636,3.256962
Anopheles oswaldoi,-52.62876,4.02668
Anopheles oswaldoi,-52.037094,4.486403
Anopheles oswaldoi,-53.33161,3.82207
Anopheles oswaldoi,-61.034866,10.616166
