SPEC,LONG,LAT
Anopheles pseudopunctipennis,-92.17194,15.3925
Anopheles pseudopunctipennis,-65.902084,-28.076406
Anopheles pseudopunctipennis,-88.524,18.445
Anopheles pseudopunctipennis,-97.632,33.409
Anopheles pseudopunctipennis,-72.64451,4.187754
Anopheles pseudopunctipennis,-73.6607,3.46653
Anopheles pseudopunctipennis,-66.84389,-29.435833
Anopheles pseudopunctipennis,-96.956115,32.588469
Anopheles pseudopunctipennis,-103.300604,29.270897
Anopheles pseudopunctipennis,-99.271977,20.184662
Anopheles pseudopunctipennis,-105.493886,28.263309
Anopheles pseudopunctipennis,-95.507911,30.193133
Anopheles pseudopunctipennis,-75.885857,6.859167
Anopheles pseudopunctipennis,-97.898666,29.881355
Anopheles pseudopunctipennis,-83.336649,8.404193
Anopheles pseudopunctipennis,-97.949186,30.950798
Anopheles pseudopunctipennis,-97.957812,26.125788
Anopheles pseudopunctipennis,-98.365638,26.176175
Anopheles pseudopunctipennis,-75.687234,7.081296
Anopheles pseudopunctipennis,-97.780488,30.281745
Anopheles pseudopunctipennis,-122.170812,37.430235
Anopheles pseudopunctipennis,-79.581944,8.932222
Anopheles pseudopunctipennis,-79.761713,9.121174
Anopheles pseudopunctipennis,-80.139282,8.681183
Anopheles pseudopunctipennis,-99.112879,36.76892
Anopheles pseudopunctipennis,-100.8628,37.9772
Anopheles pseudopunctipennis,-109.3122,31.5106
Anopheles pseudopunctipennis,-112.1903,35.2494
Anopheles pseudopunctipennis,-97.3564,32.5579
Anopheles pseudopunctipennis,-97.1274,32.9687
Anopheles pseudopunctipennis,-97.5262,32.8199
Anopheles pseudopunctipennis,-99.56,18.81
Anopheles pseudopunctipennis,-76.55,8.34
Anopheles pseudopunctipennis,-74.82,7.58
Anopheles pseudopunctipennis,-99.140319,30.047433
Anopheles pseudopunctipennis,-121.756895,36.910231
Anopheles pseudopunctipennis,-98.789351,21.259926
Anopheles pseudopunctipennis,-106.929768,24.074
Anopheles pseudopunctipennis,-80,9
Anopheles pseudopunctipennis,-98.858075,29.424018
Anopheles pseudopunctipennis,-98.124453,29.703002
Anopheles pseudopunctipennis,-111.635005,25.779294
Anopheles pseudopunctipennis,-98.493628,29.424122
Anopheles pseudopunctipennis,-100.61495,23.479118
Anopheles pseudopunctipennis,-99.539167,18.343611
Anopheles pseudopunctipennis,-98.49,20.884722
Anopheles pseudopunctipennis,-107.701111,24.764722
Anopheles pseudopunctipennis,-99.181111,20.94
Anopheles pseudopunctipennis,-102.664444,21.859444
Anopheles pseudopunctipennis,-109.258889,27.225
Anopheles pseudopunctipennis,-101.806111,18.9625
Anopheles pseudopunctipennis,-88.495,18.731389
Anopheles pseudopunctipennis,-92.891111,16.994722
Anopheles pseudopunctipennis,-107.485555,28.547778
Anopheles pseudopunctipennis,-100.278055,18.624167
Anopheles pseudopunctipennis,-100.884444,21.909167
Anopheles pseudopunctipennis,-99.138889,19.275
Anopheles pseudopunctipennis,-110.956389,28.856667
Anopheles pseudopunctipennis,-102.761111,20.816667
Anopheles pseudopunctipennis,-103.090833,21.470278
Anopheles pseudopunctipennis,-99.264444,17.525556
Anopheles pseudopunctipennis,-102.913333,21.864167
Anopheles pseudopunctipennis,-94.674167,18.023889
Anopheles pseudopunctipennis,-92.465833,15.138889
Anopheles pseudopunctipennis,-99.009722,21.981944
Anopheles pseudopunctipennis,-107.9125,30.413333
Anopheles pseudopunctipennis,-101.715833,19.821944
Anopheles pseudopunctipennis,-101.707778,19.206667
Anopheles pseudopunctipennis,-95.035555,18.504167
Anopheles pseudopunctipennis,-96.780555,16.995833
Anopheles pseudopunctipennis,-96.137778,19.199167
Anopheles pseudopunctipennis,-103.433889,20.745833
Anopheles pseudopunctipennis,-103.730555,19.243056
Anopheles pseudopunctipennis,-96.963611,19.422778
Anopheles pseudopunctipennis,-108.325833,26.708611
Anopheles pseudopunctipennis,-102.112778,18.931389
Anopheles pseudopunctipennis,-99.977222,18.637222
