SPEC,LONG,LAT
Anopheles punctimacula,-72.82,-7.596
Anopheles punctimacula,-76.7839,8.4258
Anopheles punctimacula,-72.64451,4.187754
Anopheles punctimacula,-76.3831,8.2831
Anopheles punctimacula,-81.54,9.1
Anopheles punctimacula,-78.07,7.59
Anopheles punctimacula,-74.83,7.94
Anopheles punctimacula,-75.9,4.94
Anopheles punctimacula,-76.58,7.31
Anopheles punctimacula,-73.3,11.27
Anopheles punctimacula,-76.4,8.57
Anopheles punctimacula,-60.82,-7.6
Anopheles punctimacula,-78.18,9.18
Anopheles punctimacula,-74.08,6.77
Anopheles punctimacula,-73.6,11.25
Anopheles punctimacula,-74.71,7.61
Anopheles punctimacula,-77.43,8.63
Anopheles punctimacula,-76.72,8.13
Anopheles punctimacula,-79.783333,8.880278
Anopheles punctimacula,-91.426389,17.470833
Anopheles punctimacula,-94.092778,17.91
Anopheles punctimacula,-101.806111,18.9625
Anopheles punctimacula,-96.849167,20.168889
Anopheles punctimacula,-98.791667,21.261111
Anopheles punctimacula,-91.362778,18.184444
Anopheles punctimacula,-93.118333,17.508611
Anopheles punctimacula,-92.674167,15.339444
Anopheles punctimacula,-93.607222,17.186111
Anopheles punctimacula,-98.017778,16.810556
Anopheles punctimacula,-96.997778,18.896944
Anopheles punctimacula,-92.260555,14.908056
Anopheles punctimacula,-96.9275,19.54
Anopheles punctimacula,-101.551111,17.644444
Anopheles punctimacula,-103.6025,19.3275
Anopheles punctimacula,-92.825555,17.5925
Anopheles punctimacula,-92.928055,17.990556
Anopheles punctimacula,-94.724722,17.6775
Anopheles punctimacula,-94.345278,17.986667
Anopheles punctimacula,-94.913333,17.948333
Anopheles punctimacula,-106.780555,23.723056
Anopheles punctimacula,-99.201111,20.965
Anopheles punctimacula,-97.868611,22.255278
Anopheles punctimacula,-81.78317,7.61805
Anopheles punctimacula,-96.71692,18.81735
Anopheles punctimacula,-74.59547,5.97656
Anopheles punctimacula,-79.42577,9.06314
Anopheles punctimacula,-85.96221,11.9316
Anopheles punctimacula,-79.65282,9.16352
Anopheles punctimacula,-79.87309,8.54931
Anopheles punctimacula,-67.60189,10.24685
Anopheles punctimacula,-64.30173,8.88016
Anopheles punctimacula,-79.65132,9.55234
Anopheles punctimacula,-79.97091,9.30926
Anopheles punctimacula,-77.49975,7.95137
Anopheles punctimacula,-70.13534,11.74687
Anopheles punctimacula,-89.03913,15.26085
Anopheles punctimacula,-88.73914,17.15205
Anopheles punctimacula,-88.46663,18.48406
Anopheles punctimacula,-82.41103,9.28987
Anopheles punctimacula,-83.74988,12.00108
Anopheles punctimacula,-88.195139,18.67275
Anopheles punctimacula,-93.075167,15.421667
Anopheles punctimacula,-89.115667,18.618778
Anopheles punctimacula,-91.155555,16.120278
Anopheles punctimacula,-90.535833,16.269167
Anopheles punctimacula,-90.890278,16.821111
Anopheles punctimacula,-92.538055,15.043056
Anopheles punctimacula,-90.650555,16.518889
Anopheles punctimacula,-91.899167,16.956111
Anopheles punctimacula,-92.255278,14.563056
Anopheles punctimacula,-90.867778,16.207222
Anopheles punctimacula,-91.628889,16.096667
Anopheles punctimacula,-73.829111,11.250889
