SPEC,LONG,LAT
Anopheles rangeli,-74.66008,7.72008
Anopheles rangeli,-67.13481,-9.68431
Anopheles rangeli,-73.93171,2.65014
Anopheles rangeli,-73.71447,3.565
Anopheles rangeli,-76.125,8.456389
Anopheles rangeli,-63.24,-10.3
Anopheles rangeli,-66.83,-10
Anopheles rangeli,-77.83375,-1.58373
Anopheles rangeli,-78.1688,-2.47
Anopheles rangeli,-66.91853,10.49686
Anopheles rangeli,-76.63375,-0.4004
Anopheles rangeli,-71.66873,10.68017
Anopheles rangeli,-74.66872,5.44671
Anopheles rangeli,-77.81708,-0.63373
Anopheles rangeli,-63.10169,10.1302
Anopheles rangeli,-69.20195,9.54682
Anopheles rangeli,-68.60193,9.6635
Anopheles rangeli,-77.98375,-1.13373
Anopheles rangeli,-67.38446,-8.75013
Anopheles rangeli,-75.93541,-9.15347
Anopheles rangeli,-74.30203,-11.15348
Anopheles rangeli,-75.26704,0.71634
Anopheles rangeli,-71.80036,7.03303
Anopheles rangeli,-73.55201,4.24669
Anopheles rangeli,-73.86869,7.04674
Anopheles rangeli,-73.72287,4.04876
Anopheles rangeli,-77.71708,-1.0504
Anopheles rangeli,-70.50201,9.41348
Anopheles rangeli,-65.60156,-14.88697
Anopheles rangeli,-67.47734,10.20651
Anopheles rangeli,-74.59547,5.97656
Anopheles rangeli,-75.60208,1.59666
Anopheles rangeli,-68.01857,10.46352
Anopheles rangeli,-48.8293,-25.4754
Anopheles rangeli,-41.7869,-22.3708
